Source ID,If you could change anything about the sales or design centre process  what would it be?
TAM09191035,The location was inconvenient.
TAM1015109,"The time for delivery.  I know you gave 10,0000 bonus at the design centre,  great Job, but next time if you add the appliances too will beperfect ??."
TAM0911126,"Extra bedroom in first floor ,finished carage with shelves and closed kitchen"
TAM02201002,"We have mixed reviews for the builder. On the one hand, we were very disappointed with the inflexibility of construction. We did not have the option to choose the specific lot with the specific model we wanted - that made it very difficult as there was a specific lot I was after which did not have the model I wanted. We have purchased from a competing builder and they were very flexible with this kind of thing - that was our reference point. The thing that bothered us the most though was they were unwilling to add a bathroom in the basement (or even a rough-in) when that is a standard that all builders we spoke to offer. On the other hand, we were exceptionally grateful when, after we were informed that the closing was delayed, we were allowed to make changes at the design center. We understand that the builder did not have to accept our changes, but did so anyway and we really appreciated that.  So while the staff and the process was great, the inflexibility (particularly with the rough-in bathroom) was what we did not like. I am also wondering why we were not called for a Frame Check Walk-Through."
TAM0510103,"I would not subject anyone to Henrietta at the Design Center.  We found her to be difficult with regard to communication, rude and unable to fatham that we required technical explanation for some of the details she was attempting to explain.  The experience with Henrietta was not pleasant.  Kim Knuth, on the other hand, was wonderful."
TAM1012119,When the salesman was asked questions they would get defensive.  I asked about cracked basements and they got defensive.
TAM1012102,Everything has been great. If something went wrong we greatly appreciated staff going above and beyond to rectify it. We had the tile we picked for our main floor become discontinued...we went in and picked out another plus a different backsplash as it no longer matched the new tile. Staff were able to allow us an upgraded tile as we could not find another we liked in the standard selection.
TAM02201003,Get the house in time ( no delays)
TAM0516111,Tamarack staff were exceptional! Muskoka representative came across stressed.
TAM0310113,"Our overall experience with Tamarack has been good, but the unavailability of appointments at the design centre has caused a delay in our house construction and has been a source of major disappointment for us. We have had to wait 4-6 weeks for each appointment and even then we had one appointment rescheduled on multiple occasions by Tamarack. Although our designer was extremely professional, helpful and knowledgeable, she appeared exhausted and we found the whole design process very disorganized compared to other builders such as Urbandale and Minto. This has affected our closing date (we have not had a framing inspection and we could not complete certain parts of this survey) and has caused us to question if we would recommend Tamarack to our friends and family. We would highly recommend that you hire another design consultant during busy periods."
TAM0112111,"Too many options at the design centre...why can't the tiny options bundled together or included in the purchase price ?

The sales person from Stittsville sales center, Valerie, is awsome. Because of her I ended up owning a Tamarack home. 

I visited other sals centres as well, but they were not friendly with me at all."
TAM08181051,No comments.
TAM0815115,allow more time at the design centre
TAM0816133,"Everything was perfect, very well organized"
TAM0515104,"Sales: We would appreciate if the agent that recommended to us Tamarack Cardinal Creek was recognized by your company. He is with Remax, Greg Hamre. Thank you.
Design centre: It was often hard to get a staff member on the line and sometimes, it is better to explain ourselves over the phone. 
Other than that, super!"
TAM0312114,nothing at all. So far it's been great.
TAM09171025,I would give the option to buyers to put a rough in washroom as standard in basement. But overall Jaqui is a amazing sales person and great to have in any company and Tamarack is Lucky to have her and good for the buyers too she is very helpful.
TAM0815121,"better show room, mark-up way to i for the up grade, don't appreciate to pay twice some material already paid in purchase price
more UN-satisfaction to be submitted soon"
TAM0614111,"Worked with Louise and she was fantastic! She was able to accommodate us before Christmas she was flexible and available almost like part of our family.
PART 3    was answered 5(could not skip that part) because they bought a model home N/A"
TAM0911127,Obnoxiously high costs and markup on upgrades on simple things like plumbing and potlights.
TAM0210110,More time during the review and selection process would have been nice.
TAM1118108,"Sales Centre:  would be nice to have a sales rep accompany customer into the model homes to explain what are standard, upgrades and able to ask questions on the spot.   It is overwhelming to remember all questions when returning to the sales office. 

Design Center: More affordable items for upgrades,  nice upgraded are too expensive.

Home: hired a home inspector who flagged life threating issues in the home.  1.)  Door from garage to home wouldn't close shut. Causing concern that carbon monoxide would leak into the house due to car parked in the garage. 2.) gas pipe in the back yard was too short (was below the deck , not above the deck and was from the door as the other surrounding homes).  Gas Pipe was too close to the patio door and was advised to not open the door until the pipe fitted to proper size as gas may leak into the house.  Was unable to open the window and doors until this issue was resolved.    
The above wouldn't have been detected without spending $400-$500 for home inspection and attention to these dangerous issues should be properly inspected prior to possession of home.    They still have small deficiencies that are pending. 


Note for CEO:  prices to hang TV over the fireplace was too expensive ($500)  plus wiring and only cost a under $200 to do afterwards.   Little consideration to buyer with pricing would be appreciated as we are spending a lot to purchase a home.   Would have liked a second sink in the second washroom but wanted a lot of money to add the second sink. 
Overall, very happy."
TAM0213117,"upgrades are overpriced, and feel some items eg. crown moulding should be standard."
TAM06191014,NOTHING
TAM0414113,"Be able to offer some to the things that tamarack wouldn't do- cover back porch, stone number, pot lights on exterior second level, picket doors"
TAM02182007,"1. Make separate show home without any upgrades, which has only standard feature, easy to identify how home will look like.
2. At design Center, not lot of options in standard feature, need to add more, mostly in cabinet.
3. Home owner should give entry to home, one time in a month before 3 months of closing, to see progress."
TAM07191000,* There was a limited selection of bathroom and kitchen plumbing fixtures.  Would like to see far more options available.
